t,water_level
0.0,0.120163259699
0.05,0.120200342707
0.1,0.120258842044
0.15,0.120335276443
0.2,0.120429601229
0.25,0.120526661561
0.3,0.120603052022
0.35,0.120636930555
0.4,0.120612991318
0.45,0.120522012934
0.5,0.120370445406
0.55,0.120196327188
0.6,0.120054097083
0.65,0.119981608862
0.7,0.119979257177
0.75,0.120015508071
0.8,0.120047371713
0.85,0.120050816128
0.9,0.120027591346
0.95,0.119989011824
1.0,0.119946375413
1.05,0.119908056082
1.1,0.11987762177
1.15,0.11985689727
1.2,0.119873363089
1.25,0.120055737836
1.3,0.121104497147
1.35,0.126476685677
1.4,0.136228967738
1.45,0.148413321213
1.5,0.160546615052
1.55,0.171677767201
1.6,0.18372700166
1.65,0.195199059771
1.7,0.204700121901
1.75,0.211687592843
1.8,0.218088463228
1.85,0.223921871724
1.9,0.229099351059
1.95,0.233192886169
2.0,0.236011016029
2.05,0.237777159106
2.1,0.238281310914
2.15,0.237622923697
2.2,0.235832039922
2.25,0.233281680139
2.3,0.230398983928
2.35,0.226977361451
2.4,0.223371963426
2.45,0.219944751497
2.5,0.216954582453
2.55,0.21435436859
2.6,0.212204645679
2.65,0.210217073015
2.7,0.208522578183
2.75,0.206825623232
2.8,0.205212625822
2.85,0.203860544869
2.9,0.202640640611
2.95,0.201527516926
3.0,0.200422075718
